timestamp,method,path,query_params,status_code,duration_ms,user_agent,request_body,response_body,error
2026-02-27T02:39:08.644452Z,OPTIONS,/auth/me,,200,69.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
2026-02-27T02:39:08.665912Z,OPTIONS,/auth/me,,200,804.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
2026-02-27T02:39:09.485330Z,GET,/auth/me,,401,74.33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,"{""detail"": ""Could not validate credentials""}",Could not validate credentials
2026-02-27T02:39:09.695226Z,GET,/auth/me,,401,5.31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,"{""detail"": ""Could not validate credentials""}",Could not validate credentials
2026-02-27T09:47:40.560832Z,OPTIONS,/auth/login,,200,1.87,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
2026-02-27T09:47:40.576840Z,POST,/auth/login,,200,665.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa","{""email"": ""anuragfx818@gmail.com"", ""password"": ""***""}","{""access_token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxIiwiZXhwIjoxNzcyMTg5MjYxfQ.srmTelSSLQCwHYUCvBDhITTWCFcuHgxE2mQdIY4NCQE"", ""token_type"": ""bearer""}",
2026-02-27T09:47:41.259399Z,OPTIONS,/auth/me,,200,0.67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
2026-02-27T09:47:41.267772Z,GET,/auth/me,,200,12.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,"{""id"": 1, ""email"": ""anuragfx818@gmail.com"", ""preferences"": {""default_region"": ""us-east-1"", ""default_vpc"": true, ""naming_convention"": ""kebab-case"", ""tags"": {}}, ""llm_config"": null, ""created_at"": ""2026-02-12T09:13:52""}",
2026-02-27T09:47:41.410376Z,OPTIONS,/projects/,,200,0.91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
2026-02-27T09:47:41.410914Z,OPTIONS,/projects/,,200,3.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Sa",,OK,
